JM,C,3;NAZIV_JM,C,20
kg;KILOGRAM
m;METAR
m3;METAR KUBNI
m2;METAR KVADRATNI
pak;PAKOVANJE
t;TONA
tuc;TUCE
kom;KOMADA
l;LITAR
par;PAR
gar;GARNITURA
CCC;DDDDD
DDD;"KLDA;F"
KOM;KOMADA
