SM;SIFRA_M;KONTO;CENA;KOLICINA;VREDNOST;POCST_K;POCST_V;ULAZK;ULAZ_V;IZLAZK;IZLAZ_V;STANJE_K;STANJE_V;ST_MAG
41;321101267;101000;11667;2;23334;2;23334;0;0;0;0;2;23334;0
41;321101296;101000;398;3;1194;3;1194;0;0;0;0;3;1194;0
41;321101410;101010;1765.9;1;1765.9;1;1765.9;0;0;0;0;1;1765.9;0
41;321101512;101000;109428.01;2;218856.01;2;218856.01;0;0;0;0;2;218856.01;0
41;321101562;101000;503.53;35;17623.55;35;17623.55;0;0;0;0;35;17623.55;0
41;321101588;101000;305;3;915;3;915;0;0;0;0;3;915;0
41;321101652;101010;5030.94;1;5030.94;1;5030.94;0;0;0;0;1;5030.94;0
41;321101668;101010;12331.87;9;110986.83;9;110986.83;0;0;0;0;9;110986.83;0
41;321101684;101000;13563;2;27126;2;27126;0;0;0;0;2;27126;0
41;321101752;101010;21267.98;1;21267.98;1;21267.98;0;0;0;0;1;21267.98;0
41;321101866;101010;220306.66;1;220306.66;1;220306.66;0;0;0;0;1;220306.66;0
41;321102014;101010;30005.41;1;30005.41;1;30005.41;0;0;0;0;1;30005.41;0
41;321103156;101010;18927.02;1;18927.02;1;18927.02;0;0;0;0;1;18927.02;0
41;321103162;101000;365;12;4380;12;4380;0;0;0;0;12;4380;0
41;321103170;101000;4151.74;2;8303.48;2;8303.48;0;0;0;0;2;8303.48;0
41;321103247;101000;29100;1;29100;1;29100;0;0;0;0;1;29100;0
41;321103251;101000;3767;1;3767;1;3767;0;0;0;0;1;3767;0
41;321103352;101000;29400;2;58800;2;58800;0;0;0;0;2;58800;0
41;321103412;101010;6549.42;1;6549.42;1;6549.42;0;0;0;0;1;6549.42;0
41;321103470;101010;75160.21;4;300640.82;4;300640.82;0;0;0;0;4;300640.82;0
41;321103478;101010;68458.02;2;136916.04;2;136916.04;0;0;0;0;2;136916.04;0
41;321103479;101010;11399.3;1;11399.3;1;11399.3;0;0;0;0;1;11399.3;0
41;321103485;101010;50400.32;1;50400.32;1;50400.32;0;0;0;0;1;50400.32;0
41;321103493;101010;4557.07;1;4557.07;1;4557.07;0;0;0;0;1;4557.07;0
41;321103501;101010;7084.76;2;14169.51;2;14169.51;0;0;0;0;2;14169.51;0
41;321103534;101010;5939.34;1;5939.34;1;5939.34;0;0;0;0;1;5939.34;0
41;321103536;101010;6524.65;1;6524.65;1;6524.65;0;0;0;0;1;6524.65;0
41;321103549;101010;37746.47;2;75492.93;2;75492.93;0;0;0;0;2;75492.93;0
41;321103560;101010;1715.51;2;3431.01;2;3431.01;0;0;0;0;2;3431.01;0
