SD;DOKUMENT;VRED
00;POCETNO STANJE;TRUE
16;NALOG ZA VRAC I DOR M;TRUE
11;PRIJEMNICA;TRUE
21;TREBOVANJE;FALSE
22;PRODAJNI NALOG;
25;POVRATNICA;TRUE
18;VISAK PO POPISU;TRUE
28;MANJAK PO POPISU;
27;MEDJUSKL. DOSTAVNICA;
29;Rashod Alata;FALSE
17;Medjuskl. dost. (ulaz);
26;OTPIS I RASHOD MATER.;
47;ALATNICA REDUKTORA;
48;ALATNICA ODRZAVANJA;
