MBKOM;NAKOM;SNKOM;RBGR;ADKOM
6003427;BAJCIC ZIVOMIR;BAJCIC ZIVOMIR;03214;MICE ILICA 19
6716474;NIKODIJEVIC BOZIDAR;NIKODIJEVIC;00030;
6001874;NIKOSAVIC SLAVOMIR;SLAVA;00030;
6015247;OSNOVNA SKOLA RADOMIIR LAZIC;SKOLA;00030;
6014305;POPOVIC PRVOSLAV;POPOVIC PRVOSLAV;00030;
6702503;DINAMOPREVOZ;DINAMOPREVOZ;00042;27.MARTA 149
8062170;DUNAVPREVOZ;DUNAVPREVOZ;00042;BRODARSKO NASELJE 19
8061114;JEDINSTVO;JEDINSTVO;00042;27.MARTA 149
8005613;MAJEVICA;MAJEVICA;00042;SEVERNI SALAS
8005702;NOPAL INDUSTRIJA ELEKTRO MATERIJALA;NOPAL;00042;OBROVACKI PUT 58
8121206;PODUNAVLJE;PODUNAVLJE;00042;JNA 32
8058415;PPO BACKA PALANKA;BACKA;00042;ZELEZNICKO NASELJE
6701817;PREVOZNICKA ZADRUGA;PREVOZ;00042;
8065357;SINTELON KOMBINAT PODOVA;SINTELON;00042;SALAS 100
8056749;AIK BACKA TOPOLA;AIK BACKA TOPOLA;00043;MARSALA TITA
6708242;LABNATICA;LABNATICA;00042;
6014763;RO ZIBEL;ZIBEL;00042;
8032823;TOPOLATRANS;TOPOLA;00042;
6027644;TOPOLA UNIVERZAL;UNIVERZAL;00043;
6019307;UGOSTITELJSKO TURISTICKA ORGANIZACIJA;VOJVODINA;00043;
8023557;UNIMAL;UNIMAL;00043;INDUSTRIJSKI REON BB
8061874;UNIMAL INOMAG ELEKTRON;INOMAG;00043;RADE KONCAR 25
6801170;ALZIR-KEDARA;KEDARA;03215;ALZIR
6801293;LIVNICA CELIKA 285-1501000000622-18;LIVNICA;00043;
8072990;1 MAJ G.P. OOUR MEHANIZACIJA BACKA TOPOL;1 MAJ MEHA;00043;BECEJSKI PUT BB
8071578;TEHNOPROGRES OOUR INOKS IND NERDJAJUCE OP;TEHNOPROGRES;00049;LENJINOVA 67
6708234;TARA UGOSTITELJSKA;TARA;00061;
6717829;TARATRANS BAJINA BASTA;TARATRANS;00061;
7141556;MESNA ZAJEDNICA BANICINA;   MESNA ZAJEDNIC;00079;
6018173;CENTAR ZA REHABILITACIJU;CENTAR ZA REHAB;00086;
6401821;BANJALUCKA PIVARA;PIVARA;00087;JELENE CETKOVIC 3
1118897;ELEKTROMEHANIKA R ACA 355-1024464-84;ELEKTROMEHANIKA;02450;BRACA PAVLICA 25
6019889;ELEKTROTEHNIK;ELEKTROTEHNIK;00087;
6100325;INA PLIN;INA PLIN;00087;
1122088;JELSINGRAD;JELSINGRAD;00087;
6100155;MLADOST;MLADOST;00087;
6100791;NAFTAGAS PROMET;NAFTAGAS;00087;TEREN 4
6017479;RO AUTOSERVIS OOUR FAP;AUTOSERVIS;00087;
6001246;ROTOSOOUR MESNI TRANSPORT;ROTOSOOUR;00087;
1100661;RUDI CAJAVEC RO ELEKTROMEHANOKA;RUDI CAJEVEC;00087;
6100139;TEHNOGAS;TEHNOGAS;00087;
1081411;HELIOS;HELIOS;00082;
8141029;DUNAV;DUNAV;00082;
2002787;RUMIJATRANS BAR;RUMIJATRAS;00093;
7088809;RO FKL BARAJEVO;RO FKL;00095;
6030181;ZEM ZADRUGA GRUZA BARE;ZEM ZADRUA;00102;
7026226;SOUR PRVA ISKRA;PRVA ISKRA;03213;
7063954;REIK KOLUBARA RO POVRSINSKI KOPOVI;KOLUBARA;00106;
6026940;AUTOMATIK INZINJERING;AUTOMATIK;00114;
6710441;SILOS;SILOS;00114;
7144492;LEPENICA;LEPENICA;00116;
7149468;14 OKTOBAR;14 OKTOBAR;00116;
7149298;22 DECEMBAR;22 DECEMBR;00116;
6992064;7 JULI;7 JULI;00116;
6997813;ALFA KOMERC;ALFA;02450;
6980074;SRDEKS;SRDEKS;02450;
6997502;TEHNOELEKTRO;TEHNOELEKO;02450;
6021964;INTEGRAL;INTEGRAL;02450;
6995284;TEHNOBIRO COMMERC;TEHNOBIRO;00159;NJEGOSEVA 20
7235925;HERMES PALANKA;HERMES;02450;
6997228;MINED PALANKA;MINED;02450;
6997627;KANIBAL 250-1040057695031-02 BG;KANIBAL;00159;
6996922;ZENITLIZING;ZENITLIZIG;02155;
6711243;NAUCNO DRUSTVO SRBIJE;DRUSTVO;00159;
6700454;POSLOVNE NOVINE;NOVINE;00159;
6025412;CEKOS IN D.O.O 205-4187-40;CEKOS;00159;SVETOGORSKA 28
6996019;KRUPEH;KRUPEH;00159;
6996949;PANORAMA;PANORAMA;00159;
6990401;TEHNOVAR PROMET;TEHNOVAR;00159;
6991602;FINEKS;FINEKS;00159;
6712223;RADIO TELEVIZIJA;RADIO;00159;
6025455;ZIDAR;ZIDAR;00119;
6025366;STAMPARIJA GOSA;STAMPARIJ;02450;
6003834;TERMOVENT;TERMOVENT;00159;
6991629;TRENDEKS;TRENDEKS;00159;
6001491;SAMADA KOMERC;SAMADA;00250;
7037635;NACIONAL;NACIONAL;00159;
3167682;BOROVO;BOROVO;00257;
7254644;KRUSIK OPRUGE DD;KRSIK;02862;
7263813;INEKS VELEPROMET;INEKS;02895;
6018493;METALORAD;METALORAD;02862;
7176244;VITOJEVAC;VITOJEVAC;03057;
7136404;STRELA TRAN VA 180-166050401330-90;STRELA;02862;
6023886;AUTOPREVOZ BARANAC RADE 220-78050-03;AUTOPREVOZ;00159;
6998097;IHIS;IHIS;03120;
6012043;FABRIKA MERNIH TRANSPORTERA;TRANSPORTI;03099;
6705758;UNION INZINJERING;UNION;00962;
8141495;UTVA SILOSI;UTVA SILOS;01248;
6713068;ZASTAVA TRANSPORT;ZASTAVA;01255;
7152876;GVOZDJAR;GVOZDJAR;01261;
