SM;SIFRA_M;NAZIV_M;DIMENZIJA;KVALITET;STANDARD;JM;KONTO;POCST_K;POCST_V;ULAZK;ULAZ_V;IZLAZK;IZLAZ_V;STANJE_K;STANJE_V;CENA;KOLICINA;VREDNOST
98;171701985;CAURA;30234-02-03-18;MS58;;kom;101000;0;0;2;24000;2;24000;0;0;0;0;0
98;171701986;CAURA;30234-05-10-01-04;CUAL10NI3FE2;;kom;101000;0;0;2;39000;2;39000;0;0;0;0;0
98;171701987;CAURA;30234-05-09-01-04;CUAL10NI3FE2;;kom;101000;0;0;2;39400;2;39400;0;0;0;0;0
98;171701988;CAURA;30234-05-09-01-02;CUAL10NI3FE2;;kom;101000;0;0;2;66600;2;66600;0;0;0;0;0
98;171701989;CAURA;30234-02-03-29-02;MS58;;kom;101000;0;0;2;29800;2;29800;0;0;0;0;0
98;171701990;CAURA;30234-05-06-02-02;CUSL10NI3FE2;;kom;101000;0;0;2;39600;2;39600;0;0;0;0;0
98;171701991;CAURA;30234-05-09-01-03;CUAL10NI3FE2;;kom;101000;0;0;2;35400;2;35400;0;0;0;0;0
98;171701992;CAURA;30234-05-10-01-03;CUAL10NI3FE2;;kom;101000;0;0;2;34000;2;34000;0;0;0;0;0
98;171701998;CAURA;30234-05-12-01-02;CUAL10NI3FE2;;kom;101000;0;0;1;23500;1;23500;0;0;0;0;0
98;171701999;CAURA;30234-05-06-02-03;CUAL10NI3FE2;;kom;101000;0;0;2;21800;2;21800;0;0;0;0;0
98;171702003;KLIZNA NAVRT;51023-45-006;CUSN14;;kom;101000;0;0;2;230000;2;230000;0;0;0;0;0
98;171702004;KLIZNA NAVRT;51023-44-006;;;kom;101000;0;0;1;191000;1;191000;0;0;0;0;0
98;171702072;CAURA;30248-04-05-02;PCUSN14;;kom;101000;0;0;18;70200;18;70200;0;0;0;0;0
98;171702073;CAURA;30248-04-06-02;PCUSN14;;kom;101000;0;0;36;363600;36;363600;0;0;0;0;0
98;171702074;CAURA;30248-04-14-02;PCUPB20SN5;;kom;101000;0;0;18;46800;18;46800;0;0;0;0;0
98;171702075;CAURA;30248-04-16-02;PCUPB20SN5;;kom;101000;0;0;36;104400;36;104400;0;0;0;0;0
98;171702076;CAURA;30248-04-37;PCUSN14;;kom;101000;0;0;18;99000;18;99000;0;0;0;0;0
98;171702104;CAURA;25115-104-03:7;CUAL10FE2NI3;;kom;101000;0;0;48;2376000;24;1152000;24;1224000;51000;24;1224000
98;171702105;CAURA;25115-104-02:6;CUAL10NI3FE2;;kom;101000;0;0;16;1600000;8;784000;8;816000;102000;8;816000
98;171702106;CAURA;25115-104-03:6;CUAL10NI3FE2;;kom;101000;0;0;96;2952000;48;1416000;48;1536000;32000;48;1536000
98;171702121;CAURA;30064-07-03-03-02;CUPB20SN5;;kom;101000;0;0;9;65700;9;65700;0;0;0;0;0
98;171702127;CAURA;30210-03-01-03-05;CUSN14;;kom;101000;0;0;1;29000;1;29000;0;0;0;0;0
98;171702136;CAURA;30248-09-20-06;;;kom;101000;0;0;6;10800;6;10800;0;0;0;0;0
98;171702141;CAURA;25115-310-03:2;;;kom;101000;16;83200;0;0;0;0;16;83200;5200;16;83200
98;171702147;BRONZA;30234L-23-06;CUSN12PB;;kom;101000;0;0;4;35200;4;35200;0;0;0;0;0
98;171702148;BRONZA;30234L-23-03-03;CUSN12PB;;kom;101000;0;0;4;34400;4;34400;0;0;0;0;0
98;171702192;CAURA;25115-319-02-03;CUSN12;;kom;101000;16;120000;0;0;16;120000;0;0;0;0;0
98;171702202;CAURA;25115-104-05:4;;;kom;101000;0;0;16;380000;8;181600;8;198400;24800;8;198400
98;171702206;KLIZNI LEZAJ;25115-104-05:03;;;kom;101000;0;0;16;1549600;8;757600;8;792000;99000;8;792000
98;171702209;KLIZ. LEZAJ;25115-104-04:3;;;kom;101000;0;0;16;2718400;8;1326400;8;1392000;174000;8;1392000
98;171702217;CAURA;50018-45-018;CUSN7ZNPB;;kom;101000;0;0;1;29000;0;0;1;29000;29000;1;29000
98;171702271;CAURA;30285-04-46-07;GCUAL20NI3R2;;kom;101000;0;0;1;4200;1;4200;0;0;0;0;0
98;171702272;CAURA;30285-04-46-08;;;kom;101000;0;0;2;13800;2;13800;0;0;0;0;0
