MBRD,RBVP,SLOV,SATI,IZNO,PERC,KOEF,RJ,BRIG,POK2,RBTC,KONT,RBKO
0006219,001,A,174,,,103892.72,200,00000,G,21000000,,
0006219,009,O,8,,,103892.72,200,00000,G,21000000,,
0006219,025,O,1,,,103892.72,200,00000,K,21000000,,
0006219,020,B,1,,,103892.72,200,00000,G,21000000,,
0004908,001,A,184,,,150968.33,300,00000,G,21000000,,
0004908,002,G,11,,,150968.33,300,00000,K,21000000,,
0004908,019,L,195,,,150968.33,300,00000,I,21000000,,
0010283,001,A,184,,,104236.8,300,00000,G,21000000,,
0010283,002,G,12,,,104236.8,300,00000,K,21000000,,
0010283,019,L,196,,,104236.8,300,00000,I,21000000,,
0003099,012,C,184,,,150968.33,200,00000,G,21000000,,
0004770,001,A,182,,,130996.86,200,00000,G,21000000,,
0004770,020,B,2,,,130996.86,200,00000,G,21000000,,
0004770,019,L,184,,,130996.86,200,00000,I,21000000,,
0005558,009,O,184,,,139556.06,200,00000,G,21000000,,
0006032,001,A,183,,,119584.59,200,00000,G,21000000,,
0006032,020,B,1,,,119584.59,200,00000,G,21000000,,
0006032,019,L,184,,,119584.59,200,00000,I,21000000,,
0006474,001,A,160,,,78215.12,200,00000,G,21000000,,
0006474,002,G,2,,,78215.12,200,00000,K,21000000,,
0006474,009,O,24,,,78215.12,200,00000,G,21000000,,
0006474,025,O,2,,,78215.12,200,00000,K,21000000,,
0006474,019,L,162,,,78215.12,200,00000,I,21000000,,
0006227,001,A,184,,,93906.99,200,06227,G,21000000,,
0006227,019,L,184,,,93906.99,200,06227,I,21000000,,
0006231,001,A,181,,,71082.45,200,00000,G,21000000,,
0006231,002,G,44,,,71082.45,200,00000,K,21000000,,
0006231,025,O,1,,,71082.45,200,00000,K,21000000,,
0006231,020,B,2,,,71082.45,200,00000,G,21000000,,
0006231,019,L,227,,,71082.45,200,00000,I,21000000,,
0006593,001,A,184,,,113878.46,202,06593,G,32320000,,
0006596,001,A,94,,,96760.06,200,00000,G,21000000,,
0006596,023,O,1,,,96760.06,200,00000,G,21000000,,
0006596,012,C,24,,,96760.06,200,00000,G,21000000,,
0006596,025,O,13,,,96760.06,200,00000,K,21000000,,
0006596,020,B,4,,,96760.06,200,00000,G,21000000,,
0007905,001,A,174,,,130996.86,200,00000,G,21000000,,
0007905,002,G,6,,,130996.86,200,00000,K,21000000,,
0007905,023,O,2,,,130996.86,200,00000,G,21000000,,
0007905,025,O,8,,,130996.86,200,00000,K,21000000,,
0008235,001,A,184,,,68229.39,100,00000,G,21000000,,
0008235,019,L,184,,,68229.39,100,00000,I,21000000,,
0008253,001,A,184,,,50000,200,00000,G,20000000,,
0008253,019,L,184,,,50000,200,00000,I,20000000,,
0006220,001,A,184,,,83266.76,200,00000,G,20000000,,
0006220,019,L,176,,,83266.76,200,00000,I,20000000,,
0010310,001,A,168,,,97717.55,300,00000,G,20000000,,
0010310,009,O,16,,,97717.55,300,00000,G,20000000,,
0010310,019,L,160,,,97717.55,300,00000,I,20000000,,
0005548,001,A,184,0,,50000,500,00000,G,20000000,,
0005548,019,L,184,,,50000,500,00000,I,20000000,,
0005561,001,A,104,,,78215.12,101,00000,G,20000000,,
0005561,009,O,80,,,78215.12,101,00000,G,20000000,,
0005561,019,L,104,,,78215.12,101,00000,I,20000000,,
0006055,001,A,184,,,108944.37,300,00000,G,22000000,,
0006055,019,L,184,,,108944.37,300,00000,I,22000000,,
0006014,001,A,182,,,118930.1,300,00000,G,22000000,,
0006014,025,O,2,,,118930.1,300,00000,K,22000000,,
0006014,019,L,102,,,118930.1,300,00000,I,22000000,,
0005940,001,A,8,,,118930.1,300,00000,G,22000000,,
0005940,009,O,176,,,118930.1,300,00000,G,22000000,,
0005940,019,L,8,,,118930.1,300,00000,I,22000000,,
0005643,001,A,120,,,73935.52,300,00000,G,22000000,,
0005643,012,C,64,,,73935.52,300,00000,G,22000000,,
0005643,019,L,120,,,73935.52,300,00000,I,22000000,,
0004949,001,A,182,,,69655.92,301,00000,G,22000000,,
0004949,002,G,5,,,69655.92,301,00000,K,22000000,,
0004949,025,O,2,,,69655.92,301,00000,K,22000000,,
0004949,019,L,187,,,69655.92,301,00000,I,22000000,,
0004949,,,,,,69655.92,301,00000,,22000000,,
0005524,001,A,184,,,69655.92,300,00000,G,22000000,,
0005524,002,G,5,,,69655.92,300,00000,K,22000000,,
0005524,019,L,189,,,69655.92,300,00000,I,22000000,,
0005599,001,A,183,,,125290.73,300,00000,G,22100000,,
0005599,025,O,1,,,125290.73,300,00000,K,22100000,,
0005599,019,L,151,,,125290.73,300,00000,I,22100000,,
0005625,009,O,184,,,82494.72,300,00000,G,22100000,,
0005627,001,A,184,,,75362.05,300,00000,G,22100000,,
0005627,019,L,184,,,75362.05,300,00000,I,22100000,,
0005995,001,A,167,,,79641.65,300,00000,G,22100000,,
0005995,012,C,16,,,79641.65,300,00000,G,22100000,,
0005995,025,O,1,,,79641.65,300,00000,K,22100000,,
0005995,019,L,167,,,79641.65,300,00000,I,22100000,,
0006012,001,A,183,,,82494.72,300,00000,G,22100000,,
0006012,025,O,1,,,82494.72,300,00000,K,22100000,,
0006012,019,L,183,,,82494.72,300,00000,I,22100000,,
0006027,001,A,184,,,111369.47,300,00000,G,22100000,,
0006027,019,L,152,,,111369.47,300,00000,I,22100000,,
0006552,001,A,8,,,89971.47,300,00000,G,22100000,,
0006552,002,G,11,,,89971.47,300,00000,K,22100000,,
0006552,009,O,176,,,89971.47,300,00000,G,22100000,,
0006552,019,L,11,,,89971.47,300,00000,I,22100000,,
0006670,001,A,160,,,82494.72,300,00000,G,22100000,,
0006670,002,G,15,,,82494.72,300,00000,K,22100000,,
0006670,012,C,24,,,82494.72,300,00000,G,22100000,,
0006670,019,L,,,,82494.72,300,00000,I,22100000,,
0006670,019,L,151,,,82494.72,300,00000,I,22100000,,
0010352,009,O,184,,,139556.06,300,00000,G,22100000,,
0005505,002,G,14,,,114222.54,300,00000,K,22200000,,
0005505,009,O,184,,,114222.54,300,00000,G,22200000,,
0005505,019,L,14,,,114222.54,300,00000,I,22200000,,
0002596,001,A,182,,,111369.47,300,00000,G,22200000,,
0002596,002,G,5,,,111369.47,300,00000,K,22200000,,
0002596,,,,,,111369.47,300,00000,,22200000,,
0002596,025,O,2,,,111369.47,300,00000,K,22200000,,
0002596,019,L,107,,,111369.47,300,00000,I,22200000,,
0004221,001,A,40,,,89627.39,300,00000,G,22200000,,
0004221,012,C,144,,,89627.39,300,00000,G,22200000,,
0004221,019,L,40,,,89627.39,300,00000,I,22200000,,
0004921,009,O,184,,,85347.79,300,00000,G,22200000,,
0005030,001,A,181,,,78215.12,300,00000,G,22200000,,
0005030,025,O,3,,,78215.12,300,00000,K,22200000,,
0005030,019,L,181,,,78215.12,300,00000,I,22200000,,
0005576,001,A,184,,,73935.52,300,00000,G,22200000,,
0005576,019,L,184,,,73935.52,300,00000,I,22200000,,
0005572,,,,,,76788.59,800,00000,,33200000,,
0005722,001,A,4,,,89627.39,300,00000,G,22200000,,
0005722,009,O,176,,,89627.39,300,00000,G,22200000,,
0005722,025,O,4,,,89627.39,300,00000,K,22200000,,
0005722,019,L,4,,,89627.39,300,00000,I,22200000,,
0006667,001,A,184,,,82494.72,300,00000,G,22200000,,
0006667,002,G,12,,,82494.72,300,00000,K,22200000,,
0006667,019,L,196,,,82494.72,300,00000,I,22200000,,
0006792,001,A,183,,,99957.2,300,00000,G,22200000,,
0006792,002,G,13,,,99957.2,300,00000,K,22200000,,
0006792,025,O,1,,,99957.2,300,00000,K,22200000,,
0006792,019,L,172,,,99957.2,300,00000,I,22200000,,
0007484,009,O,184,,0,85347.79,300,00000,G,22200000,,
0008523,001,A,15,,,125290.73,300,00000,G,22200000,,
0008523,009,O,168,,,125290.73,300,00000,G,22200000,,
0008523,025,O,1,,,125290.73,300,00000,K,22200000,,
0008523,019,L,15,,,125290.73,300,00000,I,22200000,,
0009297,001,A,120,,,111369.47,300,00000,G,22200000,,
0009297,009,O,64,,,111369.47,300,00000,G,22200000,,
0009297,019,L,120,,,111369.47,300,00000,I,22200000,,
0006191,001,A,184,,,104236.8,300,00000,G,22300000,,
0006191,002,G,24,,,104236.8,300,00000,K,22300000,,
0006191,019,L,136,0,,104236.8,300,00000,I,22300000,,
0006232,002,G,32,,,104236.8,300,00000,K,22300000,,
0006232,009,O,184,,,104236.8,300,00000,G,22300000,,
0006232,019,L,32,,,104236.8,300,00000,I,22300000,,
0004905,001,A,182,,,75362.05,300,00000,G,22300000,,
