"MBRD,C,7","RBVP,C,3","SLOV,C,1","SATI,N,6,2","IZNO,N,14,3","PERC,N,14,4","KOEF,N,12,3","POK2,C,1","RBRM,C,3","KESC,C,1","RBPS,C,2","P_R,C,1","RBMZ,C,4","RBOP,C,4","RBIM,C,3","RBTC,C,8","SIFK,C,5","SALD,N,10,2","STSALD,N,12,2","RATB,N,12,2","RATP,N,12,2","NEAK,N,12,3","REC,N,1,0","RBZA,C,1","GRAD,C,10","KPREB,N,5,3","LPREB,N,5,3","PART,C,30","HKMB,C,7","MRBTC,C,8","POROSL,N,10,2","NAZI,C,20"
0004548,090,T,0,1040.768,0,,K,005,R,03,P,,,910,32230000,,,,,,,,,,,,,0001830,,,
0004553,090,T,0,769.706,0,,K,009,R,06,U,,,930,33200000,,,,,,,,,,,,,0001834,,,
0004560,090,T,0,1068.786,0,,K,005,R,03,U,,,910,32400000,,,,,,,,,,,,,0001837,,,
0004583,090,T,0,923.565,0,,K,005,R,06,R,,,997,31200000,,,,,,,,,,,,,0001843,,,
0004586,090,T,0,996.313,0,,K,005,R,03,P,,,980,32250000,,,,,,,,,,,,,0001844,,,
0004611,065,T,0,5000,0,,K,005,R,03,P,,,910,32120000,,,,,,,,,,,,,0001848,,,
0004611,090,T,0,938.278,0,,K,005,R,03,P,,,910,32120000,,,,,,,,,,,,,0001848,,,
0004618,090,T,0,604.437,0,,K,005,R,03,P,,,910,32260000,,,,,,,,,,,,,0001850,,,
0004623,090,T,0,1182.062,0,,K,005,R,07,R,,,930,31200000,,,,,,,,,,,,,0001852,,,
0004634,090,T,0,632.07,0,,K,005,R,06,R,,,930,42000000,,,,,,,,,,,,,0001855,,,
0004638,090,T,0,532.98,0,,K,005,R,02,U,,,910,32210000,,,,,,,,,,,,,0001857,,,
0004657,090,T,0,589.935,0,,K,005,R,06,R,,,930,23100000,,,,,,,,,,,,,0002193,,,
0004668,090,T,0,527.518,0,,K,005,R,06,R,,,991,32310000,,,,,,,,,,,,,0001865,,,
0004669,090,T,0,656.9,0,,K,005,R,03,P,,,930,32250000,,,,,,,,,,,,,0001866,,,
0004677,098,T,0,665.419,0,,K,005,R,03,P,,,930,32260000,,,,,,,,,,,,,0001867,,,
0004693,090,T,0,921.12,0,,K,005,R,03,P,,,930,32220000,,,,,,,,,,,,,0001873,,,
0004694,090,T,0,504.969,0,,K,009,R,03,U,,,930,33100000,,,,,,,,,,,,,0001874,,,
0004695,090,T,0,677.6,0,,K,004,R,04,U,,,910,32340000,,,,,,,,,,,,,0001875,,,
0004698,098,T,0,1098.98,0,,K,005,R,03,P,,,930,32320000,,,,,,,,,,,,,0001877,,,
