M_G;NT1;NT2;NT3;NT4;NT5;NT6;BR1;BR2;BR3;BR4;P1;P2;P3;P4;STOPA1;STOPA2;STOPA3;STOPA4;STOPA5;STOPA6;STOPA7;STOPA8;STOPA9;I1;I2;I3;I4;I5;I6;KONTR;STOPAZ1;STOPAZ2;STOPAZ3;STOPAZ4;STOPAZ5;STOPAZ6;STOPAZ7;STOPAZ8;I22;I23;I24;I25;I26;I32;I33;I34;I35;I36;I42;I43;I44;I45;I46;I52;I53;I54;I55;I56;I62;I63;I64;I65;I66;I72;I73;I74;I75;I76;I82;I83;I84;I85;I86;I92;I93;I94;I95;I96;I7;I8;I9;MESEC;IZNOS1;IZNOS2
0914;18045.6;21716;21716;21716;21716;21716;21716;21716;21716;21716;0.1;21716;0;0;1.426533523;115;21716;21716;21716;15;21716;21716;21716;0;0;0;;;;;21716;21716;21716;21716;21716;21716;21716;21716;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1014;18865.9;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;0.1;28260.99;0;0;1.426533523;115;28260.99;28260.99;28260.99;15;28260.99;28260.99;28260.99;0;0;0;;;;;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1114;16405.1;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;0.1;24323.76;0;0;1.426533523;115;24323.76;24323.76;24323.76;15;24323.76;24323.76;24323.76;0;0;0;;;;;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;24323.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1214;18865.9;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;0.1;28260.99;0;0;1.426533523;115;28260.99;28260.99;28260.99;15;28260.99;28260.99;28260.99;0;0;0;;;;;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;28260.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0115;18987.15;28748.5;28748.5;28748.5;28748.5;28748.5;28748.5;28748.5;28748.5;28748.5;0.1;28748.5;0;0;1.426533523;121;28748.5;28748.5;28748.5;15;28748.5;28748.5;28748.5;0;0;0;;;;;28748.5;28748.5;28748.5;28748.5;28748.5;28748.5;28748.5;28748.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0215;17261.05;25986.73;25986.73;25986.73;25986.73;25986.73;25986.73;25986.73;25986.73;25986.73;0.1;25986.73;0;0;1.426533523;121;25986.73;25986.73;25986.73;15;25986.73;25986.73;25986.73;0;0;0;;;;;25986.73;25986.73;25986.73;25986.73;25986.73;25986.73;25986.73;25986.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0315;18987.15;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;0.1;19634.66;0;0;1.426533523;121;19634.66;19634.66;19634.66;15;19634.66;19634.66;19634.66;0;0;0;;;;;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0415;18987.15;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;0.1;19634.66;0;0;1.426533523;121;19634.66;19634.66;19634.66;15;19634.66;19634.66;19634.66;0;0;0;;;;;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0515;18124.1;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;0.1;18668.04;0;0;1.426533523;121;18668.04;18668.04;18668.04;15;18668.04;18668.04;18668.04;0;0;0;;;;;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0615;18987.15;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;0.1;19634.66;0;0;1.426533523;121;19634.66;19634.66;19634.66;15;19634.66;19634.66;19634.66;0;0;0;;;;;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0715;19850.2;20601.28;20601.28;20601.28;20601.28;20601.28;20601.28;20601.28;20601.28;20601.28;0.1;20601.28;0;0;1.426533523;121;20601.28;20601.28;20601.28;15;20601.28;20601.28;20601.28;0;0;0;;;;;20601.28;20601.28;20601.28;20601.28;20601.28;20601.28;20601.28;20601.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0815;18124.1;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;0.1;18668.04;0;0;1.426533523;121;18668.04;18668.04;18668.04;15;18668.04;18668.04;18668.04;0;0;0;;;;;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0915;18987.15;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;0.1;19634.66;0;0;1.426533523;121;19634.66;19634.66;19634.66;15;19634.66;19634.66;19634.66;0;0;0;;;;;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1015;18987.15;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;0.1;19634.66;0;0;1.426533523;121;19634.66;19634.66;19634.66;15;19634.66;19634.66;19634.66;0;0;0;;;;;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;19634.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1115;18124.1;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;0.1;18668.04;0;0;1.426533523;121;18668.04;18668.04;18668.04;15;18668.04;18668.04;18668.04;0;0;0;;;;;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;18668.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1215;19850.2;20601.57;20601.57;20601.57;20601.57;20601.57;20601.57;20601.57;20601.57;20601.57;0.1;20601.57;0;0;1.426533523;121;20601.57;20601.57;20601.57;15;20601.57;20601.57;20601.57;0;0;0;;;;;20601.57;20601.57;20601.57;20601.57;20601.57;20601.57;20601.57;20601.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0116;18124.1;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;0.1;18643.65;0;0;1.426533523;121;18643.65;18643.65;18643.65;15;18643.65;18643.65;18643.65;0;0;0;;;;;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0216;18124.1;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;0.1;18643.65;0;0;1.426533523;121;18643.65;18643.65;18643.65;15;18643.65;18643.65;18643.65;0;0;0;;;;;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0316;19850.2;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;0.1;20576.89;0;0;1.426533523;121;20576.89;20576.89;20576.89;15;20576.89;20576.89;20576.89;0;0;0;;;;;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0416;18643.65;18643.85;18643.85;18643.85;18643.85;18643.85;18643.85;18643.85;18643.85;18643.85;0.1;18643.85;0;0;1.426533523;121;18643.65;18643.65;18643.65;15;18643.85;18643.85;18643.85;0;0;0;;;;;18643.85;18643.85;18643.85;18643.85;18643.85;18643.85;18643.85;18643.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0516;18987.15;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;0.1;19610.27;0;0;1.426533523;121;19610.27;19610.27;19610.27;15;19610.27;19610.27;19610.27;0;0;0;;;;;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0616;18987.15;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;0.1;19610.27;0;0;1.426533523;121;19610.27;19610.27;19610.27;15;19610.27;19610.27;19610.27;0;0;0;;;;;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0716;18124.1;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;0.1;18643.65;0;0;1.426533523;121;18643.65;18643.65;18643.65;15;18643.65;18643.65;18643.65;0;0;0;;;;;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0816;19850.2;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;0.1;20576.89;0;0;1.426533523;121;20576.89;20576.89;20576.89;15;20576.89;20576.89;20576.89;0;0;0;;;;;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;20576.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0916;18987.15;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;0.1;19610.27;0;0;1.426533523;121;19610.27;19610.27;19610.27;15;19610.27;19610.27;19610.27;0;0;0;;;;;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1016;18124.1;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;0.1;18643.65;0;0;1.426533523;121;18643.65;18643.65;18643.65;15;18643.65;18643.65;18643.65;0;0;0;;;;;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;18643.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1116;18987.15;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;0.1;19610.27;0;0;1.426533523;121;19610.27;19610.27;19610.27;15;19610.27;19610.27;19610.27;0;0;0;;;;;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1216;18987.15;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;0.1;19610.27;0;0;1.426533523;121;19610.27;19610.27;19610.27;15;19610.27;19610.27;19610.27;0;0;0;;;;;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;19610.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0117;20399.4;21165.47;21165.47;21165.47;21165.47;21165.47;21165.47;21165.47;21165.47;21165.47;0.1;21165.47;0;0;1.426533523;130;21165.47;21165.47;21165.47;15;21165.47;21165.47;21165.47;0;0;0;;;;;21165.47;21165.47;21165.47;21165.47;21165.47;21165.47;21165.47;21165.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0217;18544.9;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;0.1;27990.01;0;0;1.426533523;130;27990.01;27990.01;27990.01;15;27990.01;27990.01;27990.01;0;0;0;;;;;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0317;21326.65;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;0.1;32440.8;0;0;1.426533523;130;32440.8;32440.8;32440.8;15;32440.8;32440.8;32440.8;0;0;0;;;;;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0417;18544.9;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;0.1;27990.01;0;0;1.426533523;130;27990.01;27990.01;27990.01;15;27990.01;27990.01;27990.01;0;0;0;;;;;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;27990.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0517;21326.65;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;0.1;32440.8;0;0;1.426533523;130;32440.8;32440.8;32440.8;15;32440.8;32440.8;32440.8;0;0;0;;;;;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;32440.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0617;20399.4;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;0.1;30957.2;0;0;1.426533523;130;30957.2;30957.2;30957.2;15;30957.2;30957.2;30957.2;0;0;0;;;;;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0717;19472.15;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;0.1;29473.6;0;0;1.426533523;130;29473.6;29473.6;29473.6;15;29473.6;29473.6;29473.6;0;0;0;;;;;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0817;21326.65;32440.79;32440.79;32440.79;32440.79;32440.79;32440.79;32440.79;32440.79;32440.79;0.1;32440.79;0;0;1.426533523;130;32440.79;32440.79;32440.79;15;32440.79;32440.79;32440.79;0;0;0;;;;;32440.79;32440.79;32440.79;32440.79;32440.79;32440.79;32440.79;32440.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0917;19472.15;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;0.1;29473.6;0;0;1.426533523;130;29473.6;29473.6;29473.6;15;29473.6;29473.6;29473.6;0;0;0;;;;;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1017;20399.4;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;0.1;30957.2;0;0;1.426533523;130;30957.2;30957.2;30957.2;15;30957.2;30957.2;30957.2;0;0;0;;;;;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1117;20399.4;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;0.1;30957.2;0;0;1.426533523;130;30957.2;30957.2;30957.2;15;30957.2;30957.2;30957.2;0;0;0;;;;;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;30957.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1217;19472.15;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;0.1;29473.6;0;0;1.426533523;130;29473.6;29473.6;29473.6;15;29473.6;29473.6;29473.6;0;0;0;;;;;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;29473.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0118;23459.3;35395.15;35395.15;35395.15;35395.15;35395.15;35395.15;35395.15;35395.15;35395.15;0.1;35395.15;0;0;1.426533523;143;35395.15;35395.15;35395.15;15;35395.15;35395.15;35395.15;0;0;0;;;;;35395.15;35395.15;35395.15;35395.15;35395.15;35395.15;35395.15;35395.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0218;20399.4;30499.28;30499.28;30499.28;30499.28;30499.28;30499.28;30499.28;30499.28;30499.28;0.1;30499.28;0;0;1.426533523;143;30499.28;30499.28;30499.28;15;30499.28;30499.28;30499.28;0;0;0;;;;;30499.28;30499.28;30499.28;30499.28;30499.28;30499.28;30499.28;30499.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0318;22439.35;33763.2;33763.2;33763.2;33763.2;33763.2;33763.2;33763.2;33763.2;33763.2;0.1;33763.2;0;0;1.426533523;143;33763.2;33763.2;33763.2;15;33763.2;33763.2;33763.2;0;0;0;;;;;33763.2;33763.2;33763.2;33763.2;33763.2;33763.2;33763.2;33763.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0418;21419.5;32131.24;32131.24;32131.24;32131.24;32131.24;32131.24;32131.24;32131.24;32131.24;0.1;32131.24;0;0;1.426533523;143;32131.24;32131.24;32131.24;15;32131.24;32131.24;32131.24;0;0;0;;;;;32131.24;32131.24;32131.24;32131.24;32131.24;32131.24;32131.24;32131.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
