internal_sifra;name;short_name;mesto;address;contact_employee;phone;web_site;active;odgovorno_lice;maticni_broj;pib;sifra_delatnosti;pripada_pdvu;email
7122802;RADIO NOVINSKA ORGANIZACIJA;SUMADIJA;00022;;;;;1;F07;;;;;;
7114141;ELEKTROPORCELAN;ELEKTROPORCELAN;00022;;;;;1;F07;;;;;;
7113226;TRGOVINSKA RADNA ORGANIZACIJA NA MALO;TRGOVINA;00022;M TITA 73;;;;1;F07;;;;;;
6026281;NIKOLIĆ MILENA KERAMIČARSKA RADNJA;NIKOLIĆ;00022;;;;;1;F07;;;;;;
7113129;STANDARD RO ZA IZGRADNJU GRADJEVINSKI OA;STANDARD;00001;;;;;1;F07;;;;;;
7236492;STRELA;STRELA;00001;MOSA PIJADE;;;;1;F07;;;;;;
7114052;SAMOT ARANDJELOVAC;SAMOT;00001;;;;;1;F07;;;;;;
7261179;FASIL  FAPROM205-97114-37;FASIL;00024;;;;;1;F07;;;;;;
7250819;TEHNICKA SKOLA;TEHNICKAI CENTAR;00024;VOJVODE MISICA;;;;1;F07;;;;;;
7188234;PIONIR RO ZA PRERADU I OBRADU METALA;PIONIR;00024;MILOSA GLISICA BB.;;;;1;F07;;;;;;
7110839;PROLETER PREDUZECE ZA PROIZVODNJU ELEKTA;PROLETER;00024;SVETOLIKA LAZAREVICA;;;;1;F07;;;;;;
6028144;SITARA;SITARA;00024;;;;;1;F07;;;;;;
7210086;VODOGRADNJA GRADJEVINSKO KOMUNALNA RO;VODOGRADNJA;00024;VOJVODE MISICA;;;;1;F07;;;;;;
6101097;ANIČIĆ ZIVADIN;ANIČIĆ ŽIVADIN;00030;;;;;1;F07;;;;;;
6714862;ARSENIJEVIC ZIVOSLAV;ZIVOSLAV;00030;;;;;1;F07;;;;;;
6707173;BABANIĆ ZIVOMIR;BABANIĆ ŽIVOMIR;00030;;;;;1;F07;;;;;;
6714161;COSIC PETAR;PETAR;00030;;;;;1;F07;;;;;;
6900976;ĆOSIĆ VITOMIR;ĆOSIĆ;00030;;;;;1;F07;;;;;;
6003761;GROMOVIC DOBRIVOJE;GROMOVIC;00030;;;;;1;F07;;;;;;
6005594;JELIC BORISLAV;JELIC;00030;;;;;1;F07;;;;;;
6010148;MATEJIC SLOBODAN;MATEJIC;00030;;;;;1;F07;;;;;;
6718981;MESNA ZAJEDNICA AZANJA;MESNA ZAJEDNICA;00030;;;;;1;F07;;;;;;
6715907;MILOSAVLJEVIC MILIJA;MILIJA;00030;MARSALA TITA 63;;;;1;F07;;;;;;
6014003;ZEMLJORADNICKA ZADRUGA AZANJA;ZADRUGA;00030;;;;;1;F07;;;;;;
7231709;ELMOT-PAL 908-20001-18-8888-43090577;ELMOT;093;MARSALA TITA;;;;1;F07;;;;;;
7203748;KOMUNALAC KOMUNALNA USLUZNA RADNA ORGANA;KOMUNALAC;00036;MARSALA TITA;;;;1;F07;;;;;;
7106297;LUŽNICA HEMIJSKA INDUSTRIJA;LUŽNICA HEMIJSKA;00036;MARŠALA TITA 41;;;;1;F07;;;;;;
6200893;6 SEPTEMBAR;6 SEPTEMBAR;00036;BULEVAR VOJVODE MIŠIĆA 43;;;;1;F07;;;;;;
8058288;POLABDUNJACA MOSTOVNA;POLABUDNJAČA;00037;ŽELEZNIĆKA bb.;;;;1;F07;;;;;;
8053766;RAD MILAN VIDAK;MILAN VIDAK;00037;JNA 135;;;;1;F07;;;;;;
8043078;STOTEKS;STOTEKS;00037;MARŠALA TITA 3;;;;1;F07;;;;;;
6003427;BAJCIC ZIVOMIR;BAJCIC ŽIVOMIR;03214;MICE ILICA 19;;;;1;F07;;;;;;
6716474;NIKODIJEVIĆ BOŽIDAR;NIKODIJEVIĆ;00030;;;;;1;F07;;;;;;
6001874;NIKOSAVIĆ SLAVOMIR;SLAVA;00030;;;;;1;F07;;;;;;
6015247;OSNOVNA ŠKOLA RADOMIIR LAZIĆ;ŠKOLA;00030;;;;;1;F07;;;;;;
6014305;POPOVIĆ PRVOSLAV;POPOVIĆ PRVOSLAV;00030;;;;;1;F07;;;;;;
6702503;DINAMOPREVOZ;DINAMOPREVOZ;00042;27.MARTA 149;;;;1;F07;;;;;;
8062170;DUNAVPREVOZ;DUNAVPREVOZ;00042;BRODARSKO NASELJE 19;;;;1;F07;;;;;;
8061114;JEDINSTVO;JEDINSTVO;00042;27.MARTA 149;;;;1;F07;;;;;;
8005613;MAJEVICA;MAJEVICA;00042;SEVERNI SALAŠ;;;;1;F07;;100751923;;;;
8005702;NOPAL INDUSTRIJA ELEKTRO MATERIJALA;NOPAL;00042;OBROVAČKI PUT 58;;;;1;F07;;;;;;
8121206;PODUNAVLJE;PODUNAVLJE;00042;JNA 32;;;;1;F07;;;;;;
8058415;PPO BAČKA PALANKA;BAČKA;00042;ŽELEZNIČKO NASELJE;;;;1;F07;;;;;;
6701817;PREVOZNICKA ZADRUGA;PREVOZ;00042;;;;;1;F07;;;;;;
8065357;SINTELON KOMBINAT PODOVA;SINTELON;00042;SALAŠ 100;;;;1;F07;;;;;;
8056749;AIK BAČKA TOPOLA;AIK BAČKA TOPOLA;00043;MARŠALA TITA;;;;1;F07;;;;;;
6708242;LABNATICA;LABNATICA;00042;;;;;1;F07;;;;;;
6014763;RO ŽIBEL;ŽIBEL;00042;;;;;1;F07;;;;;;
8032823;TOPOLATRANS;TOPOLA;00042;;;;;1;F07;;;;;;
6027644;TOPOLA UNIVERZAL;UNIVERZAL;00043;;;;;1;F07;;;;;;
