SIFRA;NAZIV
21700;Poslovi preciznog mehanic. K4
21800;Poslovi preciznog mehanic. K3
21900;Posl.elektroinstalatera K5
22000;Posl.elektroinstalatera K4
22100;Posl.elektroinstalatera K3
22200;Posl.elektroinstalatera K2
22300;Elektromonterski poslovi   K5
22400;Elektromonterski poslovi   K4
22500;Elektromonterski poslovi   K3
22600;Elektromonterski poslovi   K2
22700;El.mehanicarski posl.K5
22800;El.mehanicarski posl.K4
22900;El.mehanicarski posl.K3
23000;El.mehanicarski posl.K2
23100;Elektronicarski posl.K5
23200;Elektronicarski posl.K4
23300;Elektronicarski posl.K3
23400;Elektric.posl.-automaticar K5
23500;Elektricarski posl.K4
23600;Elektricarski posl.K3
23700;Elektricarski posl.K2
23800;Stolarski poslovi          K5
23900;Stolarski poslovi          K4
24000;Stolarski poslovi          K3
24100;Stolarski poslovi          K2
24200;Modelarski poslovi         K5
24300;Modelarski poslovi         K4
24400;Modelarski poslovi         K3
24500;Livacki poslovi            K5
24600;Livacki poslovi            K4
24700;Livacki poslovi            K3
24800;Termoobradjivacki posl. K5
24900;Termoobradjivacki posl. K4
25000;Termoobradjivacki posl. K3
25100;Termoobradjivacki posl. K2
25200;Poslovi galvanizera        K5
25300;Poslovi galvanizera        K4
25400;Poslovi galvanizera        K3
25500;Poslovi galvanizera        K2
25600;Polimerski poslovi         K4
25700;Polimerski poslovi         K3
25800;Tapaterski poslovi         K4
25900;Tapaterski poslovi         K3
26000;M.farbarski poslovi K5
26100;M.farbarski poslovi K4
26200;M.farbarski poslovi K3
26300;M.farbarski poslovi K2
26400;Molersko-farbarski poslovi
26500;Molersko-farbarski poslovi K3
26600;Molersko-farbarski poslovi K2
26700;Poslovi firmopisca         K5
26800;Poslovi firmopisca         K3
26900;Poslovi firmopisca         K2
27000;Poslovi masinovodj.manerv. K3
27100;Posl.voz.traktora K2
27200;Posl.voz.teret.mot.voz.K5
27300;Posl.voz.teret.voz.K3
27400;Posl.voz.put.voz. K5
27500;Posl.voz.put.voz. K3
27600;Posl.voz.viljuskara K-2
27700;Posl.voz.elektrokolica K2
27800;Posl.rukov.aut.dizalice K5
27900;Posl.rukov.aut.dizalice K4
28000;Posl.rukovaoca dizalice K3
28100;Posl.ruk.most.dizalicom K3
28200;Posl.ruk.most.dizalicom K2
28300;Posl.ruk.energ.postr.K5
28400;Posl.ruk.energ.postr.K4
28500;Posl.ruk.energ.postr.K3
28600;Posl.ruk.gra|.postr.mas.K5
28700;Posl.ruk.gra|.postr.mas.K4
28800;Posl.ruk.gra|.postr.mas.K3
28900;Posl.distribuc.tehn.gasova K5
29000;Posl.distribuc.tehn.gasova K4
29100;Posl.distribuc.tehn.gasova K3
29200;Posl.odrcav.alata K5
29300;Posl.odrcav.alata K4
29400;Posl.odrcav.alata K3
29600;Posl.odrcav.ATC i TT instal.K4
29700;Posl.odrcav.mas.i uredj.K5
29800;Posl.odrcav.mas.i uredj.K4
29900;Posl.odrcav.mas.i uredj.K3
30000;Posl.el.odrcav.postr.TO K5
30100;Posl.el.odrcav.postr.TO K4
30200;Posl.el.odrcav.postr.TO K3
30300;Posl.odrc.mas.sist.i NC mas.K5
30400;Posl.odrc.mas.sist.i NC mas.K4
30500;Posl.mas.odrc.postroj.TO  K5
30600;Posl.mas.odrc.postroj.TO  K4
30700;Posl.mas.odrc.postroj.TO  K3
30800;Posl.odrc.energ.postr.i inst.K2
30900;Posl.odrc.vod.inst.i kanal.K5
31000;Posl.odrc.vod.inst.i kanal.K4
31100;Posl.odrc.vod.inst.i kanal.K3
31200;Posl.odrc.vod.inst.i kanal.K2
31300;Posl.odrcav.taloc.i fek.kanaliz. K2
31400;Poslovi telefoniste              K4
31500;Poslovi telefoniste              K3
31600;Zidarski poslovi                 K5
31700;Zidarski poslovi                 K3
31800;Zidarski poslovi                 K2
31900;Armiracki poslovi                K5
32000;Armiracki poslovi                K3
32100;Armiracki poslovi                K2
32200;Graverski poslovi                K3
32300;Poslovi sitostampe               K4
32400;Poslovi sitostampe               K3
32500;Posl.na podiz. i odrcav.zelenila K4
32600;Posl.na podiz. i odrcav.zelenila K3
32700;Posl.na podiz. i odrcav.zelenila K2
32800;Poslovi peglanja
32900;Poslovi sivenja
33000;Poslovi manerviste
33100;Direktor sektora KK
33200;Ruk.sek.tehnic.kontrole
33300;Sef tehnicke kontrole
33400;Vodeci kontrolor
33500;Kontrolor Ulazne kontrole
33600;Ref.atestne i prat.dokum.
33700;Poslovi servisiranja
33800;Ing.nadzora za kvalitet mat.
33900;Incenjer nadzora
34000;Incenjer geodezije
34100;Tehnicar geodezije
34200;Direktor sektora FO
34300;Rukovodilac slucbe OK
34400;Sef odelj.finansija
34500;Gl.ref.plana i analize
34600;Sam.ref.plana i analize
34700;Ref.plana i analize
34900;Sam.ref.fin.operative
35000;Ref.finansijske operative
35100;Gl.ref.knjigovodstva
35200;Sam.ref.knjigovodstva
35300;Referent knjigovodstva
35400;Gl.tehnicki saradnik
35500;Sam.strucni saradnik
35600;Strucni saradnik
35700;Glavni saradnik
35800;Samostalni saradnik
35900;Likvidator stednje
36000;Procenitelj stete
36100;Preuzimac rizika
36200;Referent osiguranja
36300;Sef proizvodnje pog. T.O.
36400;Vod.kontrolor opreme za MIK
36500;Vodeci kontrol.normativ.-pravn.poslova
36600;Kontrolor materijalno finan.poslovanja
36700;Kontrolor obracuna LD
36800;Kontrolor tehnoloske vode
36900;Direktor zavoda za informatiku
37000;Sef odrcav.pog. T.O.
37100;Rukovodilac projekta IS
37200;Gl.projektant inf.sist.
37300;Vod.projektant inf.sistema
37400;Vod.programer aplikat.softvera
37500;Vodeci sistem programer
37600;Sam.projektant inform.sist.
37700;Sam.programer aplikat.softv.
37800;Projektant inform.sistema
37900;Programer aplikat.softvera
38000;Operater prip.na racunaru
38100;Operater na sistemu
38200;Kontrolor unosa i obrade podataka
38300;Administrator tehn.dok.
38400;"Ruk.pravnih,kadr.i opstih posl."
38500;Sef odeljenja ZNR
38600;Gl.ref.za pravne posl.
38700;Sam.ref.za pravne poslove
38800;Ref.za pravne poslove
38900;Gl.ref.za kadrov.posl.
39000;Sam.ref.za kadrov.posl.
39100;Ref.za kadrovske poslove
39200;Vod.saradnik za razvoj kadrova
39300;Visi sarad.za razvoj kadrova
39400;Sam.sarad.za razvoj i obraz.kadr.
39500;Gl.finansijer incenjeringa
39600;Pedagog
39700;Savetnik za ekonomske poslove
39800;Socijalni radnik
39900;Sam.ref.opstih poslova
40000;Ref.za opste poslove
40100;Bibliotekar
40200;Administrat.sekretar
40300;Daktilograf
40400;Kurir
40500;^istacica
40600;Vodeci incenjer ZNR
40700;Incenjer ZNR
40800;Sam.ref.ekspedicije
40900;Referent ekspedicije
41000;Ruk.sek.odbrane i samozast.
41200;"Sef odeljenja,slucbe"
41300;Samostalni referent
41400;Referent
41500;Koordinator za pripremu
41600;Zam.komandira smena
41700;Brigadir kranovodja
41800;Posl.bezbednosti -vatrogasac
41900;Poslovi bezbednosti vratara
42000;Poslovi na recepciji
42100;Vozac - vatrogasac
42200;Mehanicar - vatrogasac
42300;Ruk.odelj.tehnolog.za raz.i investic.
42400;Sef farbarskih radova
42500;Brigadir
42600;Samostalni tehnolog AKZ
42800;Vod.kontrolor mas.obrade i mont.rad.
42900;Konobar
43000;Kuvar  K3
43100;Kuvar  K2
43200;Poslasticarski poslovi
43300;Mesarski poslovi
43400;Kafe - kuvar
43500;Priprema i servisiranje hrane
43600;Perac sudja
43700;Gl.i odgovorni urednik
43800;Zam.glav.i odgovor.urednika
43900;Novinar -urednik
44000;Tehnicki urednik
44100;Radio tehnicar
44200;Fotoreporter
44300;Fotolaborant
44400;Upravnik muzeja
44500;Kustos
44600;Pripravnik
02701;Gl.ing.za projektov.i razvoj
02702;Gl.ing.za zavarivanje
33401;Vod.kontrolor bravar.montac.rad.
33403;Vodeci kontrolor TO
33404;Vodeci kontrolor TMO
33405;Vodeci kontrolor PIO
33406;Vod.kontrolor zavarivanja
33407;Vodeci kontrolor AKZ
02801;Vodeci ing.kalkulacije
02802;Vodeci incenjer TPP
02803;Vodeci incenjer za AKZ
02804;Vodeci incenjer OK
33301;Sef odelj.kontrole kvalit.opreme
33302;Sef ul.kontrole u RPR
33303;Sef odelj.kontrole kvalit.reduktora i TO
33304;Sef kontrole TMO
33305;Sef kontrole u PIO
03701;Rukovodilac biroa
03702;Ruk.prodaje za rud.opremu i met.konstr.
03703;Rukovodilac ekspedicije
35201;Sam.ref.knjigovod.uvoza i izvoza
35202;Sam.ref.knjigovodstva kontista
35203;Sam.ref.knjig.pogon.knjigovo|a
35204;Sam.ref.knjig.mater.knjigovo|a
35205;Sam.ref.knjig.osnov.sredstava
35301;Ref.materijal.knjigovodstva
06102;Sam.ref.ekster.kooperacije
06103;Sam.ref.interne KOO
06104;Sam.ref.nabav.vodj.odelj.dn
33501;Kontrolor UK i 114 grane
33502;Kontrolor RPR
33503;Kontrolor AKZ
33504;Kontrolor fazne obrade
33505;Kontrolor termicke obrade
33506;Kontrolor obrade
06901;Ruk.projektov.za reduktore
06902;Ruk.biroa za dizalice
06903;Ruk.projekt.za rud.opremu i cel.konstr
06904;Ruk.proj.za diz.tr.ure|.i metalur.opr.
06905;Ruk.biroa za celic.konstr.
06906;Ruk.projekt.za energet.opremu
06907;Rukovod.projekt.za razvoj
33507;Kontrolor bravar.montac.posl.
33508;Kontrolor bravar.i zavar.posl.
10101;Ruk.tehnolog.izrade opreme
10102;Ruk.tehnolog.reduktora i TMO
10103;Ruk.razvoja programiranja
33509;Kontrolor zavarivac.posl.
10901;Tehnolog mas.odrcavanja
10701;Sam.tehnolog-mas.odrcav.
12301;Upravnik pogona TMO
12302;Upravnik pogona TO
12303;Upravnik pog.Izrade opreme
