RBVP;NAZI;BLOK;SLOV,C,1;POK1,C,1;POK2,C,1;POK3,C,1;DOVP,L;DFVP,C,1;KESC,C,1;EFSA,L;PRKV,N,2,0;M4,C,1;REDOSLED_POENTAZA_OPIS;PREF,C,1;REDOSLED_POENTAZA;PROD,C,1;PLAC,C,1;PRE,C,1;KONT1,C,6;ANSI1,C,1;ZNAK1,N,2,0;MBKO1,C,7;KONT2,C,6;ANSI2,C,1;ZNAK2,N,2,0;MBKO2,C,7;KONT3,C,6;ANSI3,C,1;ZNAK3,N,2,0;MBKO3,C,7;KONT4,C,6;ANSI4,C,1;ZNAK4,N,2,0;MBKO4,C,7;ZIRO,C,30;PB,C,2;PART,C,20;MONTA,C,1;KATEG,C,1;SM,C,1;OGRAN,C,1;PROSEK,C,1;VARI,C,1
028;OTEZANI USLOVI 0.09;{ || KOP->SATI*KOE->C_R*0.09*MDR->KFAK };E;2;K;S;1;;P;1;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;2;1;2;2;
029;OTEZANI USLOVI 0.11;{ || KOP->SATI*KOE->C_R*0.11*MDR->KFAK };E;2;K;S;1;;P;1;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;2;1;2;2;
030;OTEZANI USLOVI 0.15;{ || KOP->SATI*KOE->C_R*0.15*MDR->KFAK };E;2;K;S;1;;P;1;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;2;1;2;2;
031;PAUSAL-POLUTERETNO V;{ || KOP->SATI*KOP->PERC*0.07*KOE->C_R*MDR->PRPB*MDR->KFAK };F;2;K;S;1;;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;2;1;2;2;
034;VISINSKI (21 - 40 M);{ || KOP->SATI*KOE->C_R*1.00*MDR->KFAK };E;2;K;;1;P;P;0;2;2;31;N;19;1;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;1;1;2;2;
035;VISINSKI (41 -70 M);{ || KOP->SATI*KOE->C_R*1.20*MDR->KFAK };E;2;K;;1;P;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;1;1;2;2;
036;PAUSAL-TERETNO VOZ.;{ || KOP->SATI*KOP->PERC*KOE->C_R*0.09*MDR->PRPB*MDR->KFAK };F;2;K;;1;;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;1;1;2;2;
037;DODATAK ZA ATESTE;{ || (ZAR->EFSATI)*KOP->PERC*KOE->C_R*MDR->KFAK };E;2;K;S;0;F;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;3;1;2;2;
038;PAUSAL-PUTNICKO VOZ.;{ || KOP->SATI*KOP->PERC*0.06*KOE->C_R*MDR->PRPB*MDR->KFAK };F;2;K;S;1;P;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
039;CEKANJE;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*0.8*MDR->KFAK };A;3;G;S;1;;P;0;3;3;31;N;19;1;3;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;3;
040;PAUZA/RUCAK;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*MDR->KFAK*MDR->PREB };I;3;G;;1;P;P;0;3;3;31;D;19;0;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;;3;3;
041;I. KOEF. REALIZACIJE;{ || ZAR->EFSATI*MDR->KOEF/176*KOE->C_R*KOP->PERC*MDR->PRPB*MDR->KFAK};I;2;K;S;1;;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
042;I. KOEF. REALIZACIJE;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*KOP->PERC*MDR->PRPB*MDR->KFAK };I;2;K;S;1;;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
043;DODATAK ZA II SMENU;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*0.1*MDR->KFAK };B;2;K;S;1;;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
044;NOCNI RAD-26%;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*0.26*MDR->KFAK };B;2;K;S;1;;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
045;MINULI RAD BMZ;{ || KOP->IZNO };C;3;K;;1;P;P;0;2;2;26;N;19;0;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;3;
046;NAKNADA MATER. STETE;{ || KOP->IZNO };O;3;G;;1;;P;0;3;3;31;N;19;0;5;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
048;KOREKCIJA SM-a;{ || KOP->IZNO };C;3;G;;1;P;P;0;2;3;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;;
050;POREZ (10%);;U;0;K;;0;P;R;0;4;0;21;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
051;TOPLI OBROK;;U;;K;;0;P;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
052;;;U;;K;;0;P;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
053;PENZIJSKO OS. 14,0%;;P;0;K;;0;P;R;0;4;6;22;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
054;ZDRAVSTVENO O. 5,15%;;P;0;K;;0;P;R;0;4;0;23;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
055;NEZAPOSLENOST 0,75%;;P;;K;;0;P;R;0;0;0;24;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
057;TOPLI OBROK - MENZA;{ || KOP->SATI*180};T;2;K;S;1;P;R;0;0;0;31;D;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;1;;;;;
058;REGRES;{ || KOP->IZNO*NTO->STOPA1 };L;3;K;S;1;P;P;0;2;2;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;1;;;;2;
059;TERENSKI DODATAK;{ || KOP->SATI*350/0.701 };L;2;K;;1;P;P;0;2;2;31;N;19;0;4;0;;;0;;;;0;;;;0;;;;0;;;;;;;;2;;
060;TOPLI OBROK - NOVAC;{ || (KOP->SATI*15278.15*0.2/KOE->BR_S)*0.6 };L;2;I;S;1;P;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;;;2;
061;PRIMLJENA AKONTACIJA;{ || KOP->IZNO };S;0;K;A;1;P;R;0;0;0;25;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
065;SUDSKO RES. (fiksno);{ || KOP->IZNO };T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
066;KAZNE PREDUZECA;{ || KOP->IZNO };T;2;K;;0;;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
067;DRUGA KATEGORIJA;{ || KOP->IZNO };K;1;G;;1;;P;0;1;4;31;N;19;0;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;;
068;PREKOVR.NEDELJA 26%R;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*1.26*MDR->KFAK };G;3;K;S;1;;P;0;3;2;31;D;19;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;;;1;3;3;
069;PREKOVR.NEDELJA 26%P;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*1.26*MDR->KFAK };G;3;K;S;1;;P;0;3;2;31;D;19;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;;;1;3;3;
070;RAZLIKA PLATE;{ || KOP->IZNO*NTO->STOPA1 };C;3;K;;1;P;P;0;2;2;26;N;19;0;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;3;
071;KOREKCIJA SM-A;{ || KOP->IZNO };C;2;K;;1;P;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;;
072;RAZLIKA PLATE;{ || KOP->IZNO };C;3;K;;1;P;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;P;;
073;I. KOEF. REALIZACIJE;{ || (ZAR->IZNETO-ZAR->TOPLI)*KOP->PERC/100*MDR->KFAK };I;0;K;;0;F;P;0;0;2;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;1;2;2;
075;ISPLACEN LD;{ || KOP->IZNO*NTO->STOPA1 };N;2;K;;1;;P;0;3;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;3;
076;ISPLACEN LD (-1);{ || KOP->IZNO*NTO->STOPA1 * (-1) };N;2;K;;1;;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;1;3;
077;ZARADA-BONUS;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*KOP->PERC/100};A;2;G;S;1;;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
078;TOPLI OB. 65% NOVAC;{ || KOP->SATI*8.92*0.65 };L;2;I;S;1;P;P;0;2;2;31;N;19;0;2;0;;;0;;;;0;;;;0;;;;0;;;;;1;;;;;
079;PREKOVREMENI  RAD;{ || KOP->SATI*NTO->NT2/KOE->BR_S*1.40*MDR->KFAK*MDR->PREB };G;3;I;S;1;;P;0;3;2;31;N;19;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;;;1;;3;
080;RAD NA PRAZNIK 50%;{ || KOP->SATI*MDR->KOEF/176*KOE->C_R*1.50*MDR->KFAK  };G;3;I;S;1;;P;1;3;2;31;D;19;1;2;0;;;0;;;;0;;;;0;;;;0;;;;;;;1;;3;
082;PLACENO 60% stari KS;{ || KOP->SATI*MDR->KOEF1*KOE->C_R*0.60*MDR->KFAK };O;3;G;;1;P;P;0;3;3;31;N;19;0;4;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
083;BOLOVANJE 65% st. KS;{ || KOP->SATI*MDR->KOEF1*KOE->C_R*0.65*MDR->KFAK };O;3;G;;1;P;P;0;3;3;31;N;19;0;5;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
084;BOLOVANJE 100% st.KS;{ || KOP->SATI*MDR->KOEF1*KOE->C_R*MDR->PRPB*MDR->KFAK };O;3;G;;1;;P;0;3;3;31;N;19;0;5;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
