RBVP;NAZI;BLOK;SLOV,C,1;POK1,C,1;POK2,C,1;POK3,C,1;DOVP,L;DFVP,C,1;KESC,C,1;EFSA,L;PRKV,N,2,0;M4,C,1;REDOSLED_POENTAZA_OPIS;PREF,C,1;REDOSLED_POENTAZA;PROD,C,1;PLAC,C,1;PRE,C,1;KONT1,C,6;ANSI1,C,1;ZNAK1,N,2,0;MBKO1,C,7;KONT2,C,6;ANSI2,C,1;ZNAK2,N,2,0;MBKO2,C,7;KONT3,C,6;ANSI3,C,1;ZNAK3,N,2,0;MBKO3,C,7;KONT4,C,6;ANSI4,C,1;ZNAK4,N,2,0;MBKO4,C,7;ZIRO,C,30;PB,C,2;PART,C,20;MONTA,C,1;KATEG,C,1;SM,C,1;OGRAN,C,1;PROSEK,C,1;VARI,C,1
466;PREKOVREMENI RAD - F;{ || KOP->SATI*MDR->KOEF/176*1.26*MDR->KFAK };G;3;K;;1;P;P;1;3;2;31;N;19;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;3;
467;DRZ. PRAZNIK 50% - F;{ || KOP->SATI*MDR->KOEF/176*1.50*MDR->KFAK };O;3;K;;1;;P;1;3;2;31;N;19;1;3;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;;3;
468;BOLOVANJE 65%  I - F;{ || KOP->SATI*MDR->KOEF/176*0.65*MDR->KFAK };O;3;G;;1;P;P;0;3;3;31;N;19;0;5;0;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;;
469;CEKANJE  - F;{ || KOP->SATI*MDR->KOEF/176*MDR->PR20*0.8*MDR->KFAK };I;3;G;;1;;P;0;3;3;31;N;19;0;3;3;;;0;;;;0;;;;0;;;;0;;;;;1;;;3;3;
470;ZARADA-BONUS - F;{ || KOP->SATI*MDR->KOEF/176*KOP->PERC/100*MDR->KFAK };A;2;G;S;1;;P;0;2;2;31;N;19;0;2;1;;;0;;;;0;;;;0;;;;0;;;;;1;;1;2;2;
480;;{ || KOP->SATI*MDR->KOEF/176*KOP->PERC*KOE->C_R*MDR->KFAK };A;3;G;;1;P;P;1;3;3;31;D;19;1;3;2;;;0;;;;0;;;;0;;;;0;;;;;1;;1;3;3;
502;ALIMENTACIJA BRUTO %;{ || (ZAR->IZNETO-ZAR->IPLAC/0.701)*KOP->PERC/100 };T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
503;ALIMENTACIJA %;{||ZAR->IZNETO*KOP->PERC/100*1/NTO->STOPA1+(POR->IZN1/KOE->BR_S*(ZAR->SSZNE+ZAR->SSNNE-ZAR->PREKOV))*POR->P1*KOP->PERC/100 };T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
074;SUDSKO RESENJE  %;{||(ZAR->IZNETO*KOP->PERC/100*1/NTO->STOPA1)+((POR->IZN1/KOE->BR_S)*(ZAR->SSZNE+ZAR->SSNNE-ZAR->PREKOV)*POR->P1*KOP->PERC/100)};T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
506;SUDSKO RESENJE  %;{||ZAR->IZNETO*KOP->PERC/100*1/NTO->STOPA1+(POR->IZN1/KOE->BR_S)*(ZAR->SSZNE+ZAR->SSNNE-ZAR->PREKOV)*POR->P1*KOP->PERC/100/NTO->STOPA1};T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
090;SINDIKAT METALACA;{ || ZAR->IZNETO*0.010*1/NTO->STOPA1+(POR->IZN1/KOE->BR_S)*(ZAR->SSZNE+ZAR->SSNNE-ZAR->PREKOV)*POR->P1*0.010 };T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
091;OPSTINSKO SIN.VECE;{ || ZAR->IZNETO*0.002*1/NTO->STOPA1+(POR->IZN1/KOE->BR_S)*(ZAR->SSZNE+ZAR->SSNNE-ZAR->PREKOV)*POR->P1*0.002 };T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
092;SINDIKAT METALACA;{ || ZAR->IZNETO*0.006*1/NTO->STOPA1+(POR->IZN1/KOE->BR_S)*(ZAR->SSZNE+ZAR->SSNNE-ZAR->PREKOV)*POR->P1*0.006 };T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
504;ALIMENTACIJA(fiksna);{ || KOP->IZNO };T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
505;NEZAVISNI S. (fiks);{ || KOP->IZNO };T;0;K;;0;F;R;0;0;0;31;N;19;0;0;0;;;0;;;;0;;;;0;;;;0;;;;;;;;;;
