SM;SIFRA_Materijala;NAZIV;DIMENZIJA;KVALITET;STANDARD;JM;KONTO;POCST_Kolicina;POCST_Vrednost;ULAZKolicina;ULAZ_Vrednost;IZLAZKolicina;IZLAZ_Vrednost;STANJE_Kolicina;STANJE_Vrednost;CENA
41;171702350;CAURA;fi 70/45x75;CUSN14;;kom;101000;4;9200;0;0;0;0;4;9200;2300
41;171702365;CAURA;25151-104-06-07;;;kom;101000;20;270000;0;0;0;0;20;270000;13500
41;172100480;OTKOVAK;50024-47-005/10;;;kom;101010;1;203333.07;0;0;0;0;1;203333.07;203333.07
41;172100519;OTKOVAK;288931-06-09-04/otk;;;kom;101010;1;221161.29;0;0;0;0;1;221161.29;221161.29
41;188600006;KERAMICKA PO;13GWx600mm   ELGA;;;kom;101000;120;28295.1;0;0;30;7073.78;90;21221.32;235.79
41;188600015;KERAMICKA PO;fi 8;;;m;101000;90;17100;0;0;0;0;90;17100;190
41;188600017;KERAMICKA TA;9-310kg/m3;;;kom;101000;2;28800;0;0;0;0;2;28800;14400
41;191000008;TECNI METAL;3450;;;kom;101000;3;1660.5;0;0;0;0;3;1660.5;553.5
41;311600910;VIJAK;M 12 x  65;;DIN 912;kom;101010;36;1836.03;0;0;0;0;36;1836.03;51
41;312200036;NAVRTKA;M  20;;DIN 6925;kom;101010;50;124;0;0;0;0;50;124;2.48
41;313100247;PODLOSKA;f 13-14;;DIN 6796;kom;101010;475;536.75;0;0;0;0;475;536.75;1.13
41;313400041;PODLOSKA;VS 24;;;kom;101000;58;1507.36;0;0;0;0;58;1507.36;25.99
41;318100001;KLIN;10x8x32;;JUS MC.2.060;kom;101000;12;72;0;0;0;0;12;72;6
41;318100002;KLIN(UL.PERO;28x16x110;;;kom;101000;10;130;0;0;0;0;10;130;13
41;318100003;KLIN;6x6x25;;JUS MC 2.060;kom;101000;12;56.4;0;0;0;0;12;56.4;4.7
41;318100006;KLIN;45x25x200;;JUS MC 2.060;kom;101000;6;102;0;0;0;0;6;102;17
41;319000009;EKSER;L 100mm;;;kg;101000;15;2000.18;0;0;15;2000.18;0;0;0
41;319000012;EKSER;6x200;;;kg;101000;10;1333.27;0;0;10;1333.27;0;0;0
41;319000018;EKSER;2.5x25;;;kg;101000;12;2199.99;0;0;0;0;12;2199.99;183.33
41;319000027;EKSER;6x140;;;kg;101000;5;707.44;0;0;5;707.44;0;0;0
41;319000030;EKSERI SITNI;;;;kg;101000;21;4201.66;0;0;0;0;21;4201.66;200.08
41;319000032;EKSER;3.4x80;;;kg;101000;23;3066.64;0;0;23;3066.64;0;0;0
41;319000043;EKSER; 50;;;kg;101000;53;7990.83;0;0;0;0;53;7990.83;150.77
41;319000049;EKSER;50x3.4;;;kom;101000;15;1999.87;0;0;15;1999.87;0;0;0
41;321100001;LEZAJ;1205 ETN9, SKF;;;kom;101010;13;10982.79;0;0;0;0;13;10982.79;844.83
41;321100008;LEZAJ;1220;;;kom;101000;26;138515.49;0;0;0;0;26;138515.49;5327.52
41;321100036;LEZAJ;22224 E, SKF;;;kom;101000;5;46221.49;0;0;0;0;5;46221.49;9244.3
41;321100046;LEZAJ;22312 E, SKF;;;kom;101000;1;6364.01;0;0;0;0;1;6364.01;6364.01
41;321100102;LEZAJ;30210 A, FAG;;;kom;101000;2;2389.17;0;0;0;0;2;2389.17;1194.59
41;321100134;LEZAJ;31315 DF;;;kom;101000;2;480;0;0;0;0;2;480;240
41;321100181;LEZAJ;32318 J2, SKF;;;kom;101000;52;70358.28;0;0;0;0;52;70358.28;1353.04
41;321100207;LEZAJ;51216, SKF;;;kom;101000;3;5643.75;0;0;0;0;3;5643.75;1881.25
41;321100213;LEZAJ;51248M, SKF;;;kom;101000;1;94173.54;0;0;0;0;1;94173.54;94173.54
41;321100236;LEZAJ;6006-ZZ (2Z);;;kom;101000;2;621.49;0;0;2;621.49;0;0;0
41;321100248;LEZAJ;6011, SKF;;;kom;101000;1;1779.55;0;0;0;0;1;1779.55;1779.55
41;321100280;LEZAJ;6202-2Z, SKF;;;kom;101000;8;2720;0;0;0;0;8;2720;340
41;321100291;LEZAJ;6206-ZZ (2Z);;;kom;101000;2;929.33;0;0;0;0;2;929.33;464.67
41;321100294;LEZAJ;6208, SKF;;;kom;101000;18;6765.55;0;0;0;0;18;6765.55;375.86
41;321100295;LEZAJ;6208-2Z, SKF;;;kom;101000;3;1956.03;0;0;2;1304.02;1;652.01;652.01
41;321100318;LEZAJ;6226;;;kom;101000;1;10546.35;0;0;0;0;1;10546.35;10546.35
41;321100361;LEZAJ;6322;;;kom;101010;4;46173.86;0;0;0;0;4;46173.86;11543.47
41;321100434;LEZAJ;6304-ZZ, (ili 2Z);;;kom;101000;3;1522.75;0;0;0;0;3;1522.75;507.58
41;321100452;LEZAJ;6207-ZZ (2Z) SKF;;;kom;101010;2;691.54;0;0;0;0;2;691.54;345.77
41;321100456;LEZAJ;22210;;;kom;101000;4;7993.38;0;0;0;0;4;7993.38;1998.35
41;321100468;LEZAJ;22319;;;kom;101000;5;5516.25;0;0;0;0;5;5516.25;1103.25
41;321100478;LEZAJ;23124;;;kom;101000;6;24060;0;0;0;0;6;24060;4010
41;321100479;LEZAJ;23132;;;kom;101000;10;37155.54;0;0;0;0;10;37155.54;3715.55
41;321100523;LEZAJ;NCF 2968 VC3;;;kom;101010;2;246941.6;0;0;0;0;2;246941.6;123470.8
41;321100598;LEZAJ;2309;;;kom;101000;4;5182;0;0;0;0;4;5182;1295.5
41;321100673;LEZAJ;6318;;;kom;101000;1;4476.77;0;0;0;0;1;4476.77;4476.77
41;321100815;LEZAJ;31316 J1/QCL7ADF;;;kom;101010;1;31364.91;0;0;0;0;1;31364.91;31364.91
41;321101013;LEZAJ;51306, SKF;;;kom;101000;2;1990;0;0;0;0;2;1990;995
41;321101133;LEZAJ;22222;;;kom;101000;3;14730;0;0;0;0;3;14730;4910
41;321101267;LEZAJ;3214 B.2RSR;;;kom;101000;2;23334;0;0;0;0;2;23334;11667
41;321101296;LEZAJ;6300 2RSH;;;kom;101000;3;1194;0;0;0;0;3;1194;398
41;321101410;LEZAJ;33209 Q;;;kom;101010;1;1765.9;0;0;0;0;1;1765.9;1765.9
41;321101512;LEZAJ;22248 CC/W33;;;kom;101000;2;218856.01;0;0;0;0;2;218856.01;109428.01
41;321101562;LEZAJ;6403;;;kom;101000;35;17623.55;0;0;0;0;35;17623.55;503.53
41;321101588;LEZAJ;6200 2RSH;;;kom;101000;3;915;0;0;0;0;3;915;305
41;321101652;LEZAJ;22214 E/C3;;;kom;101010;1;5030.94;0;0;0;0;1;5030.94;5030.94
41;321101668;LEZAJ;NU 1034 ML;;;kom;101010;9;110986.83;0;0;0;0;9;110986.83;12331.87
41;321101684;LEZAJ;NU 2222;;;kom;101000;2;27126;0;0;0;0;2;27126;13563
41;321101752;LEZAJ;QJ 226 N2MA;;;kom;101010;1;21267.98;0;0;0;0;1;21267.98;21267.98
41;321101854;LEZAJ;6000.C.2HRS;;;kom;101000;3;1275;0;0;3;1275;0;0;0
41;321101866;LEZAJ;6072 M/C3;;;kom;101010;1;220306.66;0;0;0;0;1;220306.66;220306.66
41;321102014;LEZAJ;NNF 5024 A2LSV;;;kom;101010;1;30005.41;0;0;0;0;1;30005.41;30005.41
41;321103134;LEZAJ;22215 EJW33 ili EW33J;;;kom;101000;16;51552;0;0;16;51552;0;0;0
41;321103156;LEZAJ;NU 318 ECM;;;kom;101010;1;18927.02;0;0;0;0;1;18927.02;18927.02
41;321103162;LEZAJ;6002 2RSH;;;kom;101000;14;5110;0;0;2;730;12;4380;365
41;321103170;LEZAJ;NJ 304 EM1;;;kom;101000;2;8303.48;0;0;0;0;2;8303.48;4151.74
41;321103247;LEZAJ;29416 INTNI;;;kom;101000;1;29100;0;0;0;0;1;29100;29100
41;321103251;PLOCICE;GS 81124;;;kom;101000;1;3767;0;0;0;0;1;3767;3767
41;321103352;LEZAJ;NUP 222M DKF;;;kom;101000;2;58800;0;0;0;0;2;58800;29400
41;321103412;LEZAJ;NU 2217 ECP;;;kom;101010;1;6549.42;0;0;0;0;1;6549.42;6549.42
41;321103470;LEZAJ;23240 CCK/W33;;;kom;101010;4;300640.82;0;0;0;0;4;300640.82;75160.21
41;321103478;LEZAJ;22240 CCK/W33;;;kom;101010;2;136916.04;0;0;0;0;2;136916.04;68458.02
41;321103479;LEZAJ;AH 31326;;;kom;101010;1;11399.3;0;0;0;0;1;11399.3;11399.3
41;321103485;LEZAJ;6048 M;;;kom;101010;1;50400.32;0;0;0;0;1;50400.32;50400.32
41;321103493;LEZAJ;22313 CAW33;;;kom;101010;1;4557.07;0;0;0;0;1;4557.07;4557.07
41;321103501;LEZAJ;NCF 2922 VC3;;;kom;101010;2;14169.51;0;0;0;0;2;14169.51;7084.76
41;321103534;LEZAJ;6022-2RS;;;kom;101010;1;5939.34;0;0;0;0;1;5939.34;5939.34
41;321103536;LEZAJ;32218M-90KM1;;;kom;101010;1;6524.65;0;0;0;0;1;6524.65;6524.65
41;321103549;LEZAJ;6040 C3;;;kom;101010;2;75492.93;0;0;0;0;2;75492.93;37746.47
41;321103557;LEZAJ;NCF 2960VC3;;;kom;101010;2;228038.16;0;0;0;0;2;228038.16;114019.08
41;321103560;LEZAJ;32307-90KA1;;;kom;101010;2;3431.01;0;0;0;0;2;3431.01;1715.51
41;321103564;LEZAJ;6032-2RS;;;kom;101010;1;18441.63;0;0;0;0;1;18441.63;18441.63
41;321103587;LEZAJ;23240 KCAW33;;;kom;101010;4;275468.87;0;0;0;0;4;275468.87;68867.22
41;321103624;LEZAJ;QJ 236 NZMA;;;kom;101010;3;235578.31;0;0;0;0;3;235578.31;78526.1
41;321103643;LEZAJ;23080 CC/C3W33;;;kom;101010;1;218981.65;0;0;0;0;1;218981.65;218981.65
41;321103644;LEZAJ;32228 DFE 450-90 KA3;;;kom;101010;1;83136.27;0;0;0;0;1;83136.27;83136.27
41;321103649;LEZAJ;21313 E;;;kom;101010;2;12584.93;0;0;0;0;2;12584.93;6292.47
41;321200051;LEZAJ;GE70 ES;;;kom;101000;3;11139.87;0;0;0;0;3;11139.87;3713.29
41;321300002;ZGLOBNA GLAV;SA25ES  SKF(GAR25DO  I;;;kom;101000;14;31224.07;0;0;0;0;14;31224.07;2230.29
41;322110003;USKOCNIK;125;;JUS M.C2.400;kom;101000;3;1083;0;0;0;0;3;1083;361
41;322110004;USKOCNIK;72;;JUS M.C2.400;kom;101000;2;228.29;0;0;2;228.29;0;0;0
41;322110005;USKOCNIK;70;;JUS M.C2.400;kom;101000;4;448;0;0;0;0;4;448;112
41;322110011;USKOCNIK;40;;JUS M.C2.400;kom;101000;13;33.22;0;0;0;0;13;33.22;2.56
41;322110014;USKOCNIK;55;;JUS M.C2.400;kom;101000;2;132.8;0;0;0;0;2;132.8;66.4
41;322110015;USKOCNIK;78;;JUS M.C2.400;kom;101000;119;357;0;0;0;0;119;357;3
41;322110024;USKOCNIK;35;;JUS M.C2.400;kom;101000;4;148;0;0;0;0;4;148;37
41;322110027;USKOCNIK;58;;JUS M.C2.400;kom;101000;163;326;0;0;0;0;163;326;2
41;322110033;USKOCNIK;170;;JUS M.C2.400;kom;101000;8;4775.63;0;0;0;0;8;4775.63;596.95
41;322110041;USKOCNIK;85;;JUS M.C2.400;kom;101000;1;184.84;0;0;0;0;1;184.84;184.84
41;322110042;USKOCNIK;175;;JUS M.C2.400;kom;101000;35;171.5;0;0;0;0;35;171.5;4.9
41;322110044;USKOCNIK;120;;JUS M.C2.400;kom;101000;2;720.28;0;0;0;0;2;720.28;360.14
41;322110045;USKOCNIK;200;;JUS M.C2.400;kom;101000;5;5324.99;0;0;0;0;5;5324.99;1065
