SIFRA;NAZIV;SVP
1;RADNIK;101101000
2;PENZIONER;109101000
3;NOVOZAPOSLENI SA OLAKSICOM;101108000
4;DUALNO OBRAZOVANJE;101199000
5;PRIVREMENI-POVREMENI POSLOVI;101150000
6;DIVIDENDE I UCESCE U DOBITI;101199000
7;PRIHODI KOJI IMAJU KARAKTER ZARADE;101199000
8;UGOVOR O DELU;101199000
