RBRM;NARM
002;DIREKTOR
003;SEF
004;POSLOVODJA
005;IZVRSILAC
006;RUKOVODILAC
009;KONTROLOR
001;SAVETNIK
010;Dir.sektora
011;Dir.prog.dizalica
012;Dir.prog.ROiEO
013;Dir.prog.MOiPT
014;Glavni projektant
015;Vodeci projektant
016;Sam. projektant
017;Projektant
018;Projektant pripravnik
019;Vodeci konstruktor
020;Sam. konstruktor
021;Konstruktor
022;Tehnicki sekretar
023;Kopirant
